iter	Logloss
0	0.6861716069
1	0.6819607046
2	0.6700969263
3	0.6604610471
4	0.6517066832
5	0.6422869427
6	0.6380150347
7	0.6316482231
8	0.618607032
9	0.6106556976
10	0.6035153803
11	0.5920953357
12	0.5904878705
13	0.581268628
14	0.5750098069
15	0.5690808256
16	0.5687279083
17	0.5631058097
18	0.5552669452
19	0.5478830328
20	0.5421846146
21	0.5369878374
22	0.5279717451
23	0.5201278756
24	0.5159735751
25	0.5055719611
26	0.5019526995
27	0.4932747191
28	0.4834711591
29	0.478418059
30	0.4762072471
31	0.4738425216
32	0.4685554811
33	0.4659429912
34	0.458432571
35	0.4556913245
36	0.4523491734
37	0.4519950901
38	0.4504289168
39	0.4495525221
40	0.4466540097
41	0.4424213861
42	0.4366288299
43	0.4345614623
44	0.4319615945
45	0.4315797429
46	0.4290923334
47	0.4248778056
48	0.4189218249
49	0.415583579
50	0.4129162666
51	0.4087794639
52	0.4060230136
53	0.4024875796
54	0.3995566159
55	0.3965321814
56	0.3917234275
57	0.3851781286
58	0.3824894419
59	0.3791746762
60	0.3783771812
61	0.3767514923
62	0.375227347
63	0.3710299956
64	0.3671422643
65	0.363593241
66	0.3614874742
67	0.3587753284
68	0.3532050875
69	0.3507857216
70	0.349061242
71	0.3485237563
72	0.3451866207
73	0.3434651795
74	0.34059399
75	0.3384804973
76	0.3373056686
77	0.3340142208
78	0.3317522728
79	0.3305119317
80	0.328637738
81	0.3247733937
82	0.3232355838
83	0.3202829026
84	0.3170212001
85	0.3133473781
86	0.3110261195
87	0.3085459911
88	0.306252393
89	0.3041922152
90	0.3022119044
91	0.2994684556
92	0.2983824174
93	0.2964004719
94	0.2933969623
95	0.2906778266
96	0.2892642883
97	0.2891681272
98	0.2863403268
99	0.2848604722
100	0.2815051142
101	0.2797086146
102	0.2771382454
103	0.2746433047
104	0.2713928397
105	0.2692552554
106	0.2670243702
107	0.2627633571
108	0.2602610516
109	0.2591581317
110	0.2543759181
111	0.2536109345
112	0.2517984398
113	0.2493265907
114	0.2478003955
115	0.2449003382
116	0.2436385427
117	0.2402176348
118	0.2369254813
119	0.2343886996
120	0.2333366481
121	0.230774495
122	0.2302989792
123	0.2287331718
124	0.2266173542
125	0.2246400093
126	0.2244307116
127	0.2241222864
128	0.2237501579
129	0.2233503568
130	0.221813006
131	0.2186935049
132	0.216857392
133	0.2155080645
134	0.2152213063
135	0.2142407628
136	0.2138985839
137	0.2114605698
138	0.2091657837
139	0.2072277598
140	0.2066532837
141	0.2033780702
142	0.2024312462
143	0.200829357
144	0.1993193407
145	0.1969612709
146	0.1961246917
147	0.193549876
148	0.1921336287
149	0.1912356249
150	0.1895948835
151	0.1893418333
152	0.1878201285
153	0.1856527103
154	0.183581044
155	0.1830598777
156	0.1824505789
157	0.1811962083
158	0.1805102061
159	0.1794564447
160	0.1777178481
161	0.1770681066
162	0.1757807118
163	0.174629939
164	0.1740322823
165	0.1724893927
166	0.170764605
167	0.1701946933
168	0.1691353902
169	0.1683409809
170	0.1666233964
171	0.1655054939
172	0.1647521506
173	0.1643642232
174	0.1627751322
175	0.1612850328
176	0.1607683215
177	0.1603167651
178	0.1596228239
179	0.1588699917
180	0.1582092154
181	0.157494896
182	0.1568646058
183	0.1555826081
184	0.1549883139
185	0.1533656895
186	0.1518504201
187	0.1512983631
188	0.1509058607
189	0.1498968532
190	0.14948081
191	0.1486284474
192	0.1482593653
193	0.1465194429
194	0.1444595641
195	0.1435750377
196	0.1427001981
197	0.1422126853
198	0.1418525092
199	0.1407631523
