iter	Passed	Remaining
0	59	11857
1	59	5924
2	60	3943
3	60	2951
4	60	2356
5	60	1959
6	60	1675
7	60	1462
8	61	1298
9	61	1165
10	61	1057
11	61	967
12	61	889
13	62	823
14	62	766
15	62	716
16	62	672
17	62	633
18	62	598
19	63	567
20	63	538
21	63	513
22	63	490
23	63	468
24	64	448
25	64	430
26	64	413
27	64	397
28	64	382
29	65	369
30	65	356
31	65	344
32	65	332
33	65	321
34	66	311
35	66	301
36	66	292
37	66	283
38	66	275
39	66	267
40	67	259
41	67	252
42	67	246
43	67	239
44	67	233
45	67	227
46	68	221
47	68	216
48	68	211
49	68	206
50	69	201
51	69	197
52	69	192
53	69	188
54	69	184
55	69	179
56	70	175
57	70	172
58	70	168
59	70	164
60	70	161
61	71	158
62	71	154
63	71	151
64	71	148
65	71	145
66	72	143
67	72	140
68	72	137
69	72	134
70	72	132
71	72	129
72	73	127
73	73	124
74	73	122
75	73	120
76	73	118
77	74	115
78	74	113
79	74	111
80	74	109
81	74	107
82	75	105
83	75	103
84	75	101
85	75	100
86	75	98
87	75	96
88	76	94
89	76	93
90	76	91
91	76	89
92	76	88
93	76	86
94	77	85
95	77	83
96	77	82
97	77	80
98	77	79
99	77	77
100	78	76
101	78	75
102	78	73
103	78	72
104	78	71
105	78	70
106	79	68
107	79	67
108	79	66
109	79	65
110	79	64
111	79	62
112	80	61
113	80	60
114	80	59
115	80	58
116	80	57
117	81	56
118	81	55
119	81	54
120	81	53
121	81	52
122	81	51
123	82	50
124	82	49
125	82	48
126	82	47
127	82	46
128	82	45
129	83	44
130	83	43
131	83	43
132	83	42
133	83	41
134	83	40
135	84	39
136	84	38
137	84	37
138	84	37
139	84	36
140	85	35
141	85	34
142	85	34
143	85	33
144	85	32
145	85	31
146	86	31
147	86	30
148	86	29
149	86	28
150	86	28
151	86	27
152	87	26
153	87	26
154	87	25
155	87	24
156	87	24
157	87	23
158	88	22
159	88	22
160	88	21
161	88	20
162	88	20
163	88	19
164	89	18
165	89	18
166	89	17
167	89	17
168	90	16
169	90	15
170	90	15
171	90	14
172	90	14
173	90	13
174	91	13
175	91	12
176	91	11
177	91	11
178	91	10
179	91	10
180	92	9
181	92	9
182	92	8
183	92	8
184	92	7
185	93	7
186	93	6
187	93	5
188	93	5
189	93	4
190	93	4
191	94	3
192	94	3
193	94	2
194	94	2
195	94	1
196	95	1
197	95	0
198	95	0
199	95	0
