ts_payment_ready,ts_whole_session,req_interval_cv_pre_hold,req_interval_cv_hold_gap,req_source_file,evt_source_file,label
20447.0,76942.0,2.696864,1.475688,[human][raw]session_168.jsonl,[human][raw]session_168.jsonl,0
7119.0,18506.0,1.811679,0.819107,[bot][raw]session_114.jsonl,[bot][raw]session_114.jsonl,1
12039.0,61388.0,2.417551,1.582588,[human][raw]session_129.jsonl,[human][raw]session_129.jsonl,0
13425.0,76109.0,2.516855,1.644095,[human][raw]session_128.jsonl,[human][raw]session_128.jsonl,0
6965.0,21952.0,1.89532,0.926329,[bot][raw]session_096.jsonl,[bot][raw]session_096.jsonl,1
6931.0,18576.0,1.781141,1.089912,[bot][raw]session_043.jsonl,[bot][raw]session_043.jsonl,1
23983.0,66824.0,2.613921,1.612428,[human][raw]session_160.jsonl,[human][raw]session_160.jsonl,0
6855.0,19873.0,1.7869,0.815911,[bot][raw]session_106.jsonl,[bot][raw]session_106.jsonl,1
6818.0,17764.0,1.707095,0.754546,[bot][raw]session_013.jsonl,[bot][raw]session_013.jsonl,1
6273.0,19931.0,1.929256,1.082896,[bot][raw]session_053.jsonl,[bot][raw]session_053.jsonl,1
15129.0,79975.0,2.389746,1.477856,[human][raw]session_003.jsonl,[human][raw]session_003.jsonl,0
6815.0,18101.0,1.7729,0.802793,[bot][raw]session_089.jsonl,[bot][raw]session_089.jsonl,1
6841.0,18701.0,1.477433,0.8148,[bot][raw]session_017.jsonl,[bot][raw]session_017.jsonl,1
32808.0,81219.0,2.499239,1.818141,[human][raw]session_002.jsonl,[human][raw]session_002.jsonl,0
23452.0,80730.0,2.491355,1.777904,[human][raw]session_186.jsonl,[human][raw]session_186.jsonl,0
18097.0,53553.0,2.580491,1.609485,[human][raw]session_145.jsonl,[human][raw]session_145.jsonl,0
5916.0,20527.0,2.0827,1.277913,[bot][raw]session_019.jsonl,[bot][raw]session_019.jsonl,1
7094.0,21489.0,1.94558,1.267427,[bot][raw]session_079.jsonl,[bot][raw]session_079.jsonl,1
27573.0,85772.0,2.485847,1.472599,[human][raw]session_180.jsonl,[human][raw]session_180.jsonl,0
6677.0,17783.0,1.802977,1.172652,[bot][raw]session_009.jsonl,[bot][raw]session_009.jsonl,1
