ts_payment_ready,ts_whole_session,req_interval_cv_pre_hold,req_interval_cv_hold_gap,req_source_file,evt_source_file,label
6861.0,15549.0,2.211405,1.239782,[bot][raw]session_016.jsonl,[bot][raw]session_016.jsonl,1
12448.0,59163.0,2.364853,1.537267,[human][raw]session_159.jsonl,[human][raw]session_159.jsonl,0
27473.0,88076.0,2.508534,1.81049,[human][raw]session_179.jsonl,[human][raw]session_179.jsonl,0
18525.0,66988.0,2.540639,1.841549,[human][raw]session_182.jsonl,[human][raw]session_182.jsonl,0
22012.0,74100.0,2.50459,1.786413,[human][raw]session_131.jsonl,[human][raw]session_131.jsonl,0
6863.0,18613.0,2.111526,1.449832,[bot][raw]session_073.jsonl,[bot][raw]session_073.jsonl,1
6776.0,18675.0,1.826505,0.860198,[bot][raw]session_098.jsonl,[bot][raw]session_098.jsonl,1
6732.0,19286.0,1.81217,0.864868,[bot][raw]session_097.jsonl,[bot][raw]session_097.jsonl,1
18711.0,75473.0,2.458104,1.410294,[human][raw]session_167.jsonl,[human][raw]session_167.jsonl,0
6902.0,24285.0,1.787323,0.801875,[bot][raw]session_037.jsonl,[bot][raw]session_037.jsonl,1
7119.0,21068.0,1.936598,0.963083,[bot][raw]session_071.jsonl,[bot][raw]session_071.jsonl,1
6506.0,18922.0,2.081185,1.496164,[bot][raw]session_023.jsonl,[bot][raw]session_023.jsonl,1
6910.0,18205.0,1.666085,0.980906,[bot][raw]session_049.jsonl,[bot][raw]session_049.jsonl,1
6750.0,19078.0,1.919059,1.257522,[bot][raw]session_068.jsonl,[bot][raw]session_068.jsonl,1
11944.0,70373.0,2.383216,1.488173,[human][raw]session_171.jsonl,[human][raw]session_171.jsonl,0
15718.0,60047.0,2.484767,1.454859,[human][raw]session_137.jsonl,[human][raw]session_137.jsonl,0
6816.0,19795.0,1.84582,1.206364,[bot][raw]session_041.jsonl,[bot][raw]session_041.jsonl,1
7012.0,19112.0,1.811245,0.847261,[bot][raw]session_104.jsonl,[bot][raw]session_104.jsonl,1
15618.0,73102.0,2.532837,1.443063,[human][raw]session_122.jsonl,[human][raw]session_122.jsonl,0
