duration_ms,mousemove_teleport_count,mousemove_count,source_file,label
17074,0,112,[human][raw]telemetry_162.jsonl,0
4037,1,40,[bot][raw]telemetry_032.jsonl,1
28615,0,198,[human][raw]telemetry_133.jsonl,0
11383,0,111,[human][raw]telemetry_195.jsonl,0
888,0,7,[bot][raw]telemetry_014.jsonl,1
882,1,11,[bot][raw]telemetry_017.jsonl,1
12538,0,115,[human][raw]telemetry_002.jsonl,0
3026,1,30,[bot][raw]telemetry_082.jsonl,1
4207,1,41,[bot][raw]telemetry_016.jsonl,1
12883,0,142,[human][raw]telemetry_147.jsonl,0
8438,1,81,[bot][raw]telemetry_042.jsonl,1
13179,0,119,[human][raw]telemetry_169.jsonl,0
2581,0,20,[bot][raw]telemetry_116.jsonl,1
751,0,8,[bot][raw]telemetry_010.jsonl,1
18554,0,215,[human][raw]telemetry_181.jsonl,0
22062,0,228,[human][raw]telemetry_124.jsonl,0
22901,0,183,[human][raw]telemetry_197.jsonl,0
727,1,9,[bot][raw]telemetry_037.jsonl,1
1404,2,17,[bot][raw]telemetry_108.jsonl,1
12433,0,122,[human][raw]telemetry_003.jsonl,0
1208,2,14,[bot][raw]telemetry_044.jsonl,1
